,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
90,90.0,0.6314507104098637,0.7922,0.0003825462674380857,0.296111709996293,0.0,0.7962962962962963,1.0,91.0,91.66666666666669,0.8
91,91.0,0.6342462277659369,0.7922,0.0003859692999986943,0.2982194147296907,0.0,0.7985347985347986,1.0,92.0,91.66666666666669,0.8
92,92.0,0.6370174230600607,0.7922,0.00038936237287720874,0.300330326164426,0.0,0.8007246376811594,1.0,93.0,91.66666666666669,0.8
93,93.0,0.6397642254305764,0.7922,0.00039272470326272177,0.3024503507040535,0.0,0.8028673835125448,1.0,94.0,91.66666666666669,0.8
94,94.0,0.6424865770033682,0.7922,0.0003960555311369181,0.3045812119469188,0.0,0.8049645390070922,1.0,95.0,91.66666666666669,0.8
95,95.0,0.645184432579141,0.7922,0.0003993541194382586,0.3067124473744329,0.0,0.8070175438596492,1.0,96.0,91.66666666666669,0.8
96,96.0,0.6478577593139047,0.7922,0.00040261975419389045,0.3088452214408247,0.0,0.8090277777777778,1.0,97.0,91.66666666666669,0.8
97,97.0,0.6505065363935603,0.7922,0.0004058517446201866,0.31097992105206995,0.0,0.8109965635738832,1.0,98.0,91.66666666666669,0.8
98,98.0,0.6531307547034287,0.7922,0.00040904942319286625,0.3131224706052885,0.0,0.8129251700680272,1.0,99.0,91.66666666666669,0.8
99,99.0,0.6557304164935718,0.8299,0.00041234232860478846,0.3152617260798845,0.0,0.8148148148148148,1.0,100.0,91.66666666666669,0.8
100,100.0,0.6583055350406548,0.8299,0.00041633461484235653,0.31740056839649106,0.0,0.8166666666666667,1.0,101.0,91.66666666666669,0.8
101,101.0,0.6608561343071592,0.8299,0.0004203053879331574,0.31953228016440527,0.0,0.8184818481848185,1.0,102.0,91.66666666666669,0.8
102,102.0,0.6633822485986722,0.8299,0.0004242538874015844,0.3216700761679508,0.0,0.8202614379084967,1.0,103.0,91.66666666666669,0.8
103,103.0,0.6658839222199877,0.8299,0.0004281793705283126,0.3238177502187311,0.0,0.8220064724919094,1.0,104.0,91.66666666666669,0.8
104,104.0,0.6683612091306735,0.8299,0.00043208111247315656,0.3259670098979399,0.0,0.8237179487179487,1.0,105.0,91.66666666666669,0.8
105,105.0,0.670814172600779,0.8299,0.0004359584063746696,0.3281177405262635,0.0,0.8253968253968254,1.0,106.0,91.66666666666669,0.8
106,106.0,0.6732428848672856,0.8299,0.0004398105634271983,0.3302674452896076,0.0,0.8270440251572327,1.0,107.0,91.66666666666669,0.8
107,107.0,0.6756474267919225,0.8299,0.0004436369129362041,0.3324192392519174,0.0,0.8286604361370717,1.0,108.0,91.66666666666669,0.8
108,108.0,0.6780278875208824,0.8299,0.000447436802352601,0.33456592213046676,0.0,0.8302469135802469,1.0,109.0,91.66666666666669,0.8
109,109.0,0.68038436414696,0.8299,0.0004512095972869186,0.33671601882490765,0.0,0.8318042813455657,1.0,110.0,91.66666666666669,0.8
110,110.0,0.6827169613746367,0.8299,0.00045495468150408394,0.33886363482260806,0.0,0.8333333333333334,1.0,111.0,91.66666666666669,0.8
111,111.0,0.6850257911885482,0.8299,0.0004586714568996502,0.34100031533901487,0.0,0.8348348348348349,1.0,112.0,91.66666666666669,0.8
112,112.0,0.6873109725257914,0.8299,0.0004623593434582162,0.3431378439290039,0.0,0.8363095238095238,1.0,113.0,91.66666666666669,0.8
113,113.0,0.6895726309524601,0.8299,0.0004660177791949381,0.34527965766273805,0.0,0.8377581120943953,1.0,114.0,91.66666666666669,0.8
114,114.0,0.6918108983447777,0.8299,0.00046964622008085257,0.34742419904993466,0.0,0.8391812865497076,1.0,115.0,91.66666666666669,0.8
115,115.0,0.6940259125751964,0.8299,0.00047324413995284716,0.3495718328402357,0.0,0.8405797101449275,1.0,116.0,91.66666666666669,0.8
116,116.0,0.696217817203746,0.8299,0.0004768110304090764,0.35172963477576286,0.0,0.8419540229885057,1.0,117.0,91.66666666666669,0.8
117,117.0,0.6983867611749405,0.8299,0.00048034640069057754,0.35388895352652966,0.0,0.8433048433048433,1.0,118.0,91.66666666666669,0.8
118,118.0,0.7005328985204969,0.8299,0.0004838497775498941,0.35604853220843535,0.0,0.844632768361582,1.0,119.0,91.66666666666669,0.8
119,119.0,0.7026563880680805,0.8299,0.0004873207051074343,0.3582134037038159,0.0,0.84593837535014,1.0,120.0,91.66666666666669,0.8
120,120.0,0.7047573931563337,0.8299,0.0004907587446963293,0.3603739884778267,0.0,0.8472222222222222,1.0,121.0,91.66666666666669,0.8
121,121.0,0.7068360813562844,0.8299,0.0004941634746965187,0.3625333517878951,0.0,0.8484848484848485,1.0,122.0,91.66666666666669,0.8
122,122.0,0.7088926241993988,0.8299,0.0004975344903587773,0.36468697241225967,0.0,0.8497267759562841,1.0,123.0,91.66666666666669,0.8
123,123.0,0.7109271969123149,0.8299,0.0005008714036193891,0.36684292074094066,0.0,0.8509485094850948,1.0,124.0,91.66666666666669,0.8
124,124.0,0.7129399781584403,0.8299,0.0005041738429061184,0.36900670653475465,0.0,0.8521505376344086,1.0,125.0,91.66666666666669,0.8
125,125.0,0.7149311497864607,0.8299,0.0005074414529362003,0.3711634752047044,0.0,0.8533333333333333,1.0,126.0,91.66666666666669,0.8
126,126.0,0.7169008965858664,0.8299,0.0005106738945069302,0.37331389508811713,0.0,0.8544973544973545,1.0,127.0,91.66666666666669,0.8
127,127.0,0.718849406049522,0.8299,0.0005138708442795066,0.3754518896110022,0.0,0.8556430446194225,1.0,128.0,91.66666666666669,0.8
128,128.0,0.7207768681433293,0.878,0.0005175248375738381,0.3775855744113033,0.0,0.8567708333333334,1.0,129.0,91.66666666666669,0.8
129,129.0,0.7226834750829978,0.878,0.0005220316714675588,0.3797149874984,0.0,0.8578811369509044,1.0,130.0,91.66666666666669,0.8
